artist,artist_playcount,artist_listeners,mbid,rank_global_artist
Kanye West,1507571528,7903934,,1
PinkPantheress,316396311,3010393,7441014f-f8f5-494f-81db-ff166fbc078d,2
The Weeknd,1108116040,5271192,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,3
Kendrick Lamar,1020727284,5058962,381086ea-f511-4aba-bdf9-71c753dc5077,4
Tame Impala,408605414,4288204,63aa26c3-d59b-4da4-84ac-716b54f1ef4d,5
Radiohead,1360134728,8191646,a74b1b7f-71a5-4011-9441-d0b5e4122711,6
"Tyler, The Creator",1039790817,4291283,f6beac20-5dfe-4d1f-ae02-0b0a740aafd6,7
Rihanna,594022219,8246579,73e5e69d-3554-40d8-8516-00cb38737a1c,8
Drake,1145589131,6680449,9fff2f8a-21e6-47de-a2b8-7f449929d43f,9
Taylor Swift,3641322101,5898287,20244d07-534f-4eff-b4d4-930878889970,10
Lady Gaga,1021854865,7672026,650e7db6-b795-4eb5-a702-5ea2fc46c848,11
Sabrina Carpenter,643949869,3209010,1882fe91-cdd9-49c9-9956-8e06a3810bd4,12
Ariana Grande,1094855988,4439980,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,13
Charli xcx,710201255,3739189,260b6184-8828-48eb-945c-bc4cb6fc34ca,14
Lana Del Rey,1565467948,5215689,b7539c32-53e7-4908-bda3-81449c367da6,15
Frank Ocean,767191128,4226835,e520459c-dff4-491d-a6e4-c97be35e0044,16
Arctic Monkeys,926468128,7056434,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,17
Billie Eilish,825662018,4190446,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,18
Paramore,577644860,5598820,44cf61b8-5197-448a-b82b-cef6ee89fac5,19
Harry Styles,431423578,3256274,7eb1ce54-a355-41f9-8d68-e018b096d427,20
Gorillaz,511695612,6823259,e21857d5-3256-4547-afb3-4b6ded592596,21
Bruno Mars,296063264,5197522,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,22
BTS,3278482435,2393711,0d79fe8e-ba27-4859-bb8c-2f255f346853,23
Bad Bunny,396182439,2533794,89aa5ecb-59ad-46f5-b3eb-2d424e941f19,24
A$AP Rocky,364445277,3423186,25b7b584-d952-4662-a8b9-dd8cdfbfeb64,25
Chappell Roan,330324822,2536228,56a55378-f155-48de-80a5-d80104221267,26
Doja Cat,462421875,3593996,5df62a88-cac9-490a-b62c-c7c88f4020f4,27
Don Toliver,266272401,2487423,a0723a3c-4135-438e-85c5-012712144ede,28
Fleetwood Mac,294046209,4844145,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,29
The Smiths,532731931,5033912,40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,30
Deftones,564640645,4201313,7527f6c2-d762-4b88-b5e2-9244f1e34c46,31
Linkin Park,735735330,6894180,f59c5520-5f46-4d2c-b2c4-822eabf53419,32
Mitski,655387542,3238408,fa58cf24-0e44-421d-8519-8bf461dcfaa5,33
Coldplay,776925253,9065820,cc197bad-dc9c-440d-a5b5-d52ba2e14234,34
Justin Bieber,318248279,4742111,e0140a67-e4d1-4f13-8a01-364355bee46e,35
Childish Gambino,323704083,3778581,7fb57fba-a6ef-44c2-abab-2fa3bdee607e,36
The Neighbourhood,391560139,3924626,53b06622-ec51-4924-a554-58b0affde6b5,37
Travis Scott,674682588,3305976,e4a51f17-a57b-47b1-b37b-f552d0f8e9e6,38
SZA,581444028,3464821,272989c8-5535-492d-a25c-9f58803e027f,39
beabadoobee,317488305,2598446,88d17133-abbc-42db-9526-4e2c1db60336,40
The Marías,233797313,2456657,7a3970c9-ecd8-4eee-a267-4d8c77d97ff3,41
Olivia Rodrigo,548964839,3057385,6925db17-f35e-42f3-a4eb-84ee6bf5d4b0,42
Clairo,345393451,2896578,d786f59b-1836-4ddb-8393-ab753edbe984,43
Katy Perry,433714931,7087745,122d63fc-8671-43e4-9752-34e846d62a9c,44
Michael Jackson,348851501,6786248,f27ec8db-af05-4f36-916e-3d57f91ecf5e,45
Dominic Fike,148178644,2438107,e337c918-098f-418e-97a2-81dc224b1bf9,46
Playboi Carti,774769004,2458906,2baf3276-ed6a-4349-8d2e-f4601e7b2167,47
TV Girl,288836401,2819520,38f0c7ac-46eb-49ca-b3ab-c785ccd05a60,48
Future,455998157,3196422,48262e82-db9f-4a92-b650-dfef979b73ec,49
